classe,imagem,mse,psnr,brisque
notumor,no-0548.jpg,7032.9659,9.6594,33.9235
notumor,no-0549.jpg,5099.2732,11.0557,24.503
notumor,no-0550.jpg,4845.6643,11.2773,45.0006
notumor,no-0551.jpg,5022.8959,11.1213,69.1819
notumor,no-0552.jpg,2294.1809,14.5245,32.7301
notumor,no-0553.jpg,7779.6864,9.2212,30.5738
notumor,no-0554.jpg,6837.2868,9.782,12.9265
notumor,no-0555.jpg,8078.1047,9.0577,67.1522
notumor,no-0556.jpg,6379.9901,10.0826,22.1051
notumor,no-0557.jpg,2871.2968,13.55,49.226
notumor,no-0558.jpg,5227.8205,10.9476,46.1917
notumor,no-0559.jpg,8004.5186,9.0975,51.6253
notumor,no-0560.jpg,3112.1732,13.2002,111.9692
notumor,no-0561.jpg,4894.266,11.2339,26.265
notumor,no-0562.jpg,6494.9242,10.0051,40.1441
notumor,no-0563.jpg,9335.4842,8.4294,49.9237
notumor,no-0564.jpg,11578.7677,7.4942,38.6475
notumor,no-0565.jpg,5543.9276,10.6926,33.447
notumor,no-0566.jpg,5735.3743,10.5452,29.2703
notumor,no-0567.jpg,8084.674,9.0542,20.6612
notumor,no-0568.jpg,5008.9592,11.1333,26.1986
notumor,no-0569.jpg,6646.8501,9.9046,9.1861
notumor,no-0570.jpg,3770.4335,12.3669,18.7095
notumor,no-0571.jpg,7745.1846,9.2405,40.0037
notumor,no-0572.jpg,9335.4842,8.4294,49.9237
notumor,no-0573.jpg,3374.4535,12.8488,49.7283
notumor,no-0574.jpg,5274.502,10.909,14.7239
notumor,no-0575.jpg,2830.3978,13.6123,33.7091
notumor,no-0576.jpg,8392.9446,8.8917,24.8517
notumor,no-0577.jpg,8420.5754,8.8774,30.1526
notumor,no-0578.jpg,6682.1579,9.8816,35.7299
notumor,no-0579.jpg,3990.7127,12.1203,36.1911
notumor,no-0580.jpg,5019.8833,11.1239,23.9141
notumor,no-0581.jpg,8837.8342,8.6673,48.4419
notumor,no-0582.jpg,7005.3689,9.6765,19.0462
notumor,no-0583.jpg,6526.8006,9.9838,34.6555
notumor,no-0584.jpg,10044.6714,8.1114,51.0686
notumor,no-0585.jpg,6219.3982,10.1933,27.5932
notumor,no-0586.jpg,10121.1363,8.0785,47.7729
notumor,no-0587.jpg,233.1526,24.4544,45.7209
notumor,no-0588.jpg,7480.0628,9.3918,29.9988
notumor,no-0589.jpg,15612.382,6.1961,63.1583
notumor,no-0590.jpg,6461.0426,10.0278,34.9777
notumor,no-0591.jpg,6211.8874,10.1986,24.0832
notumor,no-0592.jpg,7762.3959,9.2308,40.8843
notumor,no-0593.jpg,7477.0702,9.3935,54.3088
notumor,no-0594.jpg,8038.2012,9.0792,48.7245
notumor,no-0595.jpg,8019.9383,9.0891,18.7337
notumor,no-0596.jpg,3331.1053,12.9049,40.1337
notumor,no-0597.jpg,6809.7583,9.7995,35.4629
notumor,no-0598.jpg,10056.8936,8.1062,28.9621
notumor,no-0599.jpg,7526.0931,9.3651,37.8693
notumor,no-0600.jpg,11470.6773,7.5349,46.9788
notumor,no-0601.jpg,10551.5623,7.8976,34.0919
notumor,no-0602.jpg,168.738,25.8587,55.3447
notumor,no-0603.jpg,7982.3976,9.1095,34.5905
notumor,no-0604.jpg,8420.5754,8.8774,30.1526
notumor,no-0605.jpg,4853.0987,11.2706,41.2385
notumor,no-0606.jpg,11253.5857,7.6179,21.4845
notumor,no-0607.jpg,46.9934,31.4104,44.9888
notumor,no-0608.jpg,6957.8396,9.7061,35.2332
notumor,no-0609.jpg,2475.3865,14.1944,50.817
notumor,no-0610.jpg,7774.4993,9.2241,64.7051
notumor,no-0611.jpg,3211.1126,13.0642,35.4369
notumor,no-0612.jpg,9657.129,8.2823,41.4802
notumor,no-0613.jpg,2342.1871,14.4346,51.8801
notumor,no-0614.jpg,9192.7515,8.4963,17.6933
notumor,no-0615.jpg,5752.3481,10.5324,41.6317
notumor,no-0616.jpg,9310.7634,8.441,44.3366
